step,value,wall_time
2,2.297069787979126,1745952162.334162
5,2.3038136959075928,1745952162.342859
7,2.311483144760132,1745952162.348384
10,2.308532953262329,1745952162.357004
15,2.300133466720581,1745952162.372712
16,2.302063465118408,1745952162.376056
17,2.3037586212158203,1745952162.379027
21,2.301321029663086,1745952162.390195
22,2.306380271911621,1745952162.392944
23,2.2947165966033936,1745952162.396066
28,2.3071208000183105,1745952162.414997
30,2.2972137928009033,1745952162.4205492
32,2.3072052001953125,1745952162.4257112
37,2.298564910888672,1745952162.439271
39,2.319899797439575,1745952162.444745
42,2.316934108734131,1745952162.455245
49,2.307889223098755,1745952162.478998
51,2.311152935028076,1745952162.485591
52,2.2999281883239746,1745952162.488616
56,2.3066697120666504,1745952162.501158
63,2.3030714988708496,1745952162.5253649
66,2.3070359230041504,1745952162.5342479
67,2.2981607913970947,1745952162.537236
69,2.3068270683288574,1745952162.5431318
72,2.2935729026794434,1745952162.552137
78,2.316072702407837,1745952162.571115
81,2.3031110763549805,1745952162.579872
82,2.3068554401397705,1745952162.582784
84,2.308919906616211,1745952162.588771
85,2.3077139854431152,1745952162.592175
89,2.3006973266601562,1745952162.6041129
94,2.3111939430236816,1745952162.619125
95,2.3069682121276855,1745952162.622093
96,2.2866597175598145,1745952162.625001
99,2.2983415126800537,1745952162.6335151
101,2.3031094074249268,1745952162.63939
104,2.303840398788452,1745952162.647758
106,2.3073153495788574,1745952162.653424
107,2.290846347808838,1745952162.656201
111,2.2980759143829346,1745952162.66783
116,2.292994260787964,1745952162.682034
118,2.3034374713897705,1745952162.687615
121,2.307697296142578,1745952162.696125
122,2.2936229705810547,1745952162.6992068
127,2.3094563484191895,1745952162.714175
131,2.302072286605835,1745952162.725852
132,2.2927703857421875,1745952162.729036
134,2.30228853225708,1745952162.735146
136,2.3028388023376465,1745952162.741098
138,2.3097071647644043,1745952162.7475588
139,2.3112287521362305,1745952162.750321
142,2.3079333305358887,1745952162.7591438
145,2.2987897396087646,1745952162.7677498
146,2.3002123832702637,1745952162.770443
149,2.2999117374420166,1745952162.778964
151,2.302187204360962,1745952162.7843368
152,2.308976650238037,1745952162.787147
154,2.3024725914001465,1745952162.792913
156,2.3036065101623535,1745952162.798503
160,2.3137354850769043,1745952162.810047
161,2.3047304153442383,1745952162.812989
165,2.300206422805786,1745952162.82389
167,2.309232234954834,1745952162.830301
171,2.3090004920959473,1745952162.843188
175,2.3148813247680664,1745952162.858592
188,2.3045742511749268,1745952162.903136
190,2.308961868286133,1745952162.911032
194,2.3055319786071777,1745952162.926253
198,2.310554027557373,1745952162.94511
201,2.311281204223633,1745952162.956924
202,2.3075242042541504,1745952162.961247
203,2.3007445335388184,1745952162.9649322
205,2.311647653579712,1745952162.9854422
206,2.296243667602539,1745952162.994912
211,2.309831142425537,1745952163.014772
212,2.3000214099884033,1745952163.017906
213,2.3129684925079346,1745952163.0218098
214,2.3056540489196777,1745952163.0262651
216,2.3209948539733887,1745952163.034473
218,2.3036561012268066,1745952163.042364
219,2.313817024230957,1745952163.04607
220,2.3089349269866943,1745952163.049542
221,2.302455425262451,1745952163.0537548
223,2.3164796829223633,1745952163.062015
225,2.299032688140869,1745952163.068916
227,2.3017208576202393,1745952163.0758982
229,2.2969329357147217,1745952163.082355
232,2.3014185428619385,1745952163.092211
235,2.3042235374450684,1745952163.1005921
239,2.312706470489502,1745952163.114447
242,2.3005800247192383,1745952163.12388
250,2.3054440021514893,1745952163.148117
252,2.299893856048584,1745952163.153858
255,2.2972195148468018,1745952163.164447
257,2.295933723449707,1745952163.172562
260,2.2923662662506104,1745952163.182375
271,2.3073689937591553,1745952163.213846
275,2.313823938369751,1745952163.225583
277,2.298534870147705,1745952163.231328
280,2.3105106353759766,1745952163.2401128
281,2.3102242946624756,1745952163.242971
284,2.317553758621216,1745952163.251842
286,2.315103530883789,1745952163.257569
297,2.292135715484619,1745952163.292447
299,2.3105030059814453,1745952163.298133
301,2.3052926063537598,1745952163.3042839
302,2.2952961921691895,1745952163.307277
303,2.29994535446167,1745952163.310142
305,2.309863567352295,1745952163.3165948
307,2.3045248985290527,1745952163.323651
313,2.3035967350006104,1745952163.342001
314,2.2831575870513916,1745952163.344747
321,2.306082010269165,1745952163.364512
323,2.302597999572754,1745952163.37058
324,2.303882122039795,1745952163.373342
325,2.300283193588257,1745952163.376229
326,2.2946689128875732,1745952163.379172
327,2.3061599731445312,1745952163.382001
328,2.3111798763275146,1745952163.38488
329,2.308319091796875,1745952163.387687
332,2.300870656967163,1745952163.3971572
333,2.3082120418548584,1745952163.40077
338,2.3034324645996094,1745952163.4160151
339,2.3004560470581055,1745952163.419281
340,2.290126085281372,1745952163.4225621
341,2.3056211471557617,1745952163.425815
342,2.3020806312561035,1745952163.4289448
343,2.298243522644043,1745952163.432113
345,2.3033437728881836,1745952163.4387252
352,2.3041861057281494,1745952163.459954
353,2.290736675262451,1745952163.4629061
355,2.3113276958465576,1745952163.46859
356,2.2952046394348145,1745952163.47153
363,2.3010687828063965,1745952163.491592
